Região,Porte,Desenvolvimento,Porte,Codigo,Município,,CrecheTotal,CrecheFederal,CrecheEstadual,CrecheMunicipal,CrechePrivada,,PreEscolaTotal,PreEscolaFederal,PreEscolaEstadual,PreEscolaMunicipal,PreEscolaPrivada,,EFAnosInciaisTotal,EFAnosInciaisFederal,EFAnosInciaisEstadual,EFAnosInciaisMunicipal,EFAnosInciaisPrivada,,EFAnosFinaisTotal,EFAnosFinaisFederal,EFAnosFinaisEstadual,EFAnosFinaisMunicipal,EFAnosFinaisPrivada,,EnsinoMédioRegularTotal,EnsinoMédioRegularFederal,EnsinoMédioRegularEstadual,EnsinoMédioRegularMunicipal,EnsinoMédioRegularPrivada,,EProfisIntegradoTotal,EProfisIntegradoFederal,EProfisIntegradoEstadual,EProfisIntegradoMunicipal,EProfisIntegradoPrivada,,EProfisConcomitanteTotal,EProfisConcomitanteFederal,EProfisConcomitanteEstadual,EProfisConcomitanteMunicipal,EProfisConcomitantePrivada,,EProfisSubsequenteTotal,EProfisSubsequenteFederal,EProfisSubsequenteEstadual,EProfisSubsequenteMunicipal,EProfisSubsequentePrivada,,EJATotal,,EJAEnsinoFundamentalTotal,EJAEnsinoFundamentalFederal,EJAEnsinoFundamentalEstadual,EJAEnsinoFundamentalMunicipal,EJAEnsinoFundamentalPrivada,,EJAEnsinoMédioTotal,EJAEnsinoMédioFederal,EJAEnsinoMédioEstadual,EJAEnsinoMédioMunicipal,EJAEnsinoMédioPrivada
Região Administrativa de Barretos,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3500907,Altair,,92,0,0,92,0,,96,0,0,96,0,,197,0,0,197,0,,182,0,182,0,0,,98,0,98,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Ribeirão Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 15.001 até 20.000 habitantes,3501004,Altinópolis,,426,0,0,382,44,,441,0,0,393,48,,1048,0,0,867,181,,872,0,315,412,145,,491,0,408,0,83,,19,0,19,0,0,,0,0,0,0,0,,0,0,0,0,0,,"31,00",,"21,00","0,00","0,00","21,00","0,00",,"10,00","0,00","10,00","0,00","0,00"
Região Administrativa de Araçatuba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3501103,Alto Alegre,,47,0,0,47,0,,66,0,0,66,0,,213,0,0,213,0,,150,0,150,0,0,,136,0,136,0,0,,20,0,20,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Sorocaba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 15.001 até 20.000 habitantes,3501152,Alumínio,,452,0,0,437,15,,448,0,0,444,4,,1247,0,0,928,319,,1099,0,0,843,256,,832,0,640,0,192,,95,0,95,0,0,,0,0,0,0,0,,111,0,0,0,111,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3501202,Álvares Florence,,88,0,0,88,0,,72,0,0,72,0,,164,0,0,164,0,,168,0,84,84,0,,102,0,102,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Presidente Prudente,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 20.001 até 30.000 habitantes,3501301,Álvares Machado,,665,0,0,467,198,,662,0,0,576,86,,1828,0,0,1406,422,,1425,0,0,1074,351,,862,0,621,0,241,,20,0,20,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3501400,Álvaro de Carvalho,,81,0,0,81,0,,84,0,0,84,0,,203,0,0,203,0,,172,0,172,0,0,,97,0,97,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"446,00",,"253,00","0,00","253,00","0,00","0,00",,"193,00","0,00","193,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3501509,Alvinlândia,,100,0,0,100,0,,92,0,0,92,0,,195,0,0,195,0,,186,0,186,0,0,,113,0,113,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"22,00",,"7,00","0,00","7,00","0,00","0,00",,"15,00","0,00","15,00","0,00","0,00"
Região Administrativa de Campinas,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 200.001 até 250.000 habitantes,3501608,Americana,,5736,0,0,2308,3428,,5413,0,0,3759,1654,,13739,0,4347,4562,4830,,12062,0,5892,2036,4134,,10.344,0,7.836,0,2.508,,1864,0,1714,0,150,,110,0,71,0,39,,1456,0,300,0,1156,,1.574,,"537,00","0,00","521,00","16,00","0,00",,1.037,"0,00",1.037,"0,00","0,00"
Região Administrativa Central,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 30.001 até 40.000 habitantes,3501707,Américo Brasiliense,,981,0,0,965,16,,864,0,0,817,47,,2280,0,0,2016,264,,1908,0,555,1089,264,,1.407,0,1.268,0,139,,251,0,251,0,0,,0,0,0,0,0,,0,0,0,0,0,,"256,00",,"140,00","0,00","76,00","64,00","0,00",,"116,00","0,00","116,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3501806,Américo de Campos,,110,0,0,110,0,,124,0,0,124,0,,278,0,0,278,0,,336,0,91,245,0,,188,0,39,149,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Campinas,Municípios de Médio Porte,Municípios de Médio Porte: de 50.001 até 100.000 habitantes,Municípios de Médio Porte: de 55.001 até 100.000 habitantes,3501905,Amparo,,1574,0,0,1104,470,,1586,0,0,1358,228,,4246,0,788,2289,1169,,3313,0,2411,0,902,,3.695,0,3.194,0,501,,715,0,715,0,0,,29,0,28,0,1,,623,0,593,0,30,,"174,00",,"55,00","0,00","37,00","18,00","0,00",,"119,00","0,00","71,00","0,00","48,00"
Região Administrativa de Campinas,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3502002,Analândia,,147,0,0,147,0,,108,0,0,108,0,,313,0,0,313,0,,231,0,0,231,0,,129,0,129,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Araçatuba,Municípios de Médio Porte,Municípios de Médio Porte: de 50.001 até 100.000 habitantes,Municípios de Médio Porte: de 55.001 até 100.000 habitantes,3502101,Andradina,,1278,0,0,763,515,,1338,0,0,1069,269,,3638,0,0,2707,931,,2891,0,2125,0,766,,2.212,0,1.742,0,470,,237,0,237,0,0,,277,0,277,0,0,,291,0,238,0,53,,"302,00",,"159,00","0,00","83,00","18,00","58,00",,"143,00","0,00","143,00","0,00","0,00"
Região Administrativa de Itapeva,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 20.001 até 30.000 habitantes,3502200,Angatuba,,531,0,0,522,9,,620,0,0,592,28,,1663,0,0,1515,148,,1306,0,203,1060,43,,747,0,747,0,0,,120,0,120,0,0,,0,0,0,0,0,,0,0,0,0,0,,"80,00",,"24,00","0,00","24,00","0,00","0,00",,"56,00","0,00","56,00","0,00","0,00"
Região Administrativa de Sorocaba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3502309,Anhembi,,184,0,0,184,0,,174,0,0,174,0,,389,0,0,389,0,,354,0,0,354,0,,321,0,321,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Presidente Prudente,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3502408,Anhumas,,115,0,0,115,0,,94,0,0,94,0,,220,0,0,220,0,,178,0,178,0,0,,77,0,77,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de São José dos Campos,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 30.001 até 40.000 habitantes,3502507,Aparecida,,834,0,0,761,73,,716,0,0,598,118,,2261,0,0,1820,441,,1683,0,0,1518,165,,1.077,0,1.033,0,44,,241,0,241,0,0,,36,0,0,36,0,,103,0,0,103,0,,"149,00",,"36,00","0,00","0,00","36,00","0,00",,"113,00","0,00","113,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3502606,Aparecida d'Oeste,,88,0,0,88,0,,76,0,0,76,0,,206,0,0,206,0,,177,0,177,0,0,,105,0,105,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Itapeva,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 20.001 até 30.000 habitantes,3502705,Apiaí,,554,0,0,554,0,,624,0,0,597,27,,1651,0,660,911,80,,1452,0,1284,37,131,,1.228,0,1.181,0,47,,348,0,348,0,0,,3,0,2,0,1,,52,0,30,0,22,,"35,00",,"17,00","0,00","17,00","0,00","0,00",,"18,00","0,00","18,00","0,00","0,00"
Região Administrativa de Sorocaba,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 20.001 até 30.000 habitantes,3502754,Araçariguama,,588,0,0,487,101,,813,0,0,732,81,,1919,0,0,1619,300,,1508,0,0,1307,201,,982,0,982,0,0,,165,0,165,0,0,,0,0,0,0,0,,0,0,0,0,0,,"125,00",,"74,00","0,00","0,00","74,00","0,00",,"51,00","0,00","51,00","0,00","0,00"
Região Administrativa de Araçatuba,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 200.001 até 250.000 habitantes,3502804,Araçatuba,,4991,0,14,3541,1436,,4555,0,0,3486,1069,,12474,0,0,9181,3293,,9752,0,6819,0,2933,,7.339,0,5.609,0,1.730,,508,0,508,0,0,,163,0,73,0,90,,1991,0,227,0,1764,,2.738,,"901,00","0,00","326,00","169,00","406,00",,1.837,"0,00","829,00","0,00",1.008
Região Administrativa de Sorocaba,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 30.001 até 40.000 habitantes,3502903,Araçoiaba da Serra,,773,0,0,715,58,,834,0,0,759,75,,2358,0,0,2108,250,,1875,0,0,1732,143,,1.350,0,1.261,0,89,,179,0,179,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Franca,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3503000,Aramina,,130,0,0,130,0,,112,0,0,112,0,,312,0,0,312,0,,303,0,303,0,0,,137,0,137,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Itapeva,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3503109,Arandu,,172,0,0,172,0,,192,0,0,192,0,,456,0,0,456,0,,343,0,343,0,0,,241,0,241,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de São José dos Campos,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3503158,Arapeí,,21,0,0,21,0,,59,0,0,59,0,,145,0,0,145,0,,153,0,0,153,0,,95,0,95,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa Central,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 200.001 até 250.000 habitantes,3503208,Araraquara,,6395,0,26,5477,892,,5309,0,0,4337,972,,14916,0,5542,5130,4244,,11683,0,6048,2477,3158,,8.441,344,6.152,0,1.945,,1335,344,926,0,65,,244,25,119,0,100,,2617,93,668,0,1856,,1.059,,"460,00","0,00","114,00","346,00","0,00",,"599,00","0,00","599,00","0,00","0,00"
Região Administrativa de Campinas,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 100.001 até 150.000 habitantes,3503307,Araras,,5441,0,0,4558,883,,4556,0,0,4136,420,,7616,0,2049,3979,1588,,6355,0,2960,2118,1277,,4.540,0,3.734,38,768,,640,0,640,0,0,,216,0,185,0,31,,496,0,460,0,36,,"235,00",,"141,00","0,00","0,00","141,00","0,00",,"94,00","0,00","94,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3503356,Arco-Íris,,55,0,8,47,0,,51,0,0,51,0,,133,0,18,115,0,,101,0,101,0,0,,51,0,51,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Bauru,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3503406,Arealva,,175,0,0,175,0,,175,0,0,175,0,,453,0,0,445,8,,354,0,354,0,0,,254,0,254,0,0,,19,0,19,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de São José dos Campos,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3503505,Areias,,49,0,0,49,0,,98,0,0,98,0,,239,0,0,239,0,,199,0,0,199,0,,134,0,134,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"16,00",,"16,00","0,00","0,00","16,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Sorocaba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3503604,Areiópolis,,236,0,0,236,0,,263,0,0,263,0,,697,0,0,675,22,,524,0,0,524,0,,329,0,329,0,0,,11,0,11,0,0,,0,0,0,0,0,,0,0,0,0,0,,"55,00",,"15,00","0,00","0,00","15,00","0,00",,"40,00","0,00","40,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3503703,Ariranha,,177,0,0,177,0,,127,0,0,127,0,,376,0,0,376,0,,328,0,328,0,0,,249,0,249,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"154,00",,"51,00","0,00","51,00","0,00","0,00",,"103,00","0,00","103,00","0,00","0,00"
Região Administrativa de Campinas,Municípios de Médio Porte,Municípios de Médio Porte: de 50.001 até 100.000 habitantes,Municípios de Médio Porte: de 50.001 até 55.000 habitantes,3503802,Artur Nogueira,,1469,0,0,1290,179,,1400,0,0,1160,240,,3697,0,0,2940,757,,3121,0,2564,0,557,,2.635,0,2.456,0,179,,60,0,60,0,0,,0,0,0,0,0,,0,0,0,0,0,,"192,00",,"125,00","0,00","74,00","51,00","0,00",,"67,00","0,00","67,00","0,00","0,00"
Região Metropolitana de São Paulo_Leste,Municípios de Médio Porte,Municípios de Médio Porte: de 50.001 até 100.000 habitantes,Municípios de Médio Porte: de 55.001 até 100.000 habitantes,3503901,Arujá,,2422,0,0,1472,950,,2548,0,0,1936,612,,7075,0,0,5830,1245,,5796,0,4832,0,964,,4.845,0,4.350,0,495,,492,0,471,0,21,,199,0,189,0,10,,406,0,203,0,203,,"430,00",,"166,00","0,00","95,00","71,00","0,00",,"264,00","0,00","264,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3503950,Aspásia,,58,0,0,58,0,,40,0,0,40,0,,123,0,99,24,0,,92,0,92,0,0,,47,0,47,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Marília,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 100.001 até 150.000 habitantes,3504008,Assis,,2708,0,5,1742,961,,2179,0,0,1544,635,,6183,0,0,4949,1234,,5008,0,3797,0,1211,,3.593,0,2.914,0,679,,360,0,360,0,0,,128,0,128,0,0,,530,0,514,0,16,,"359,00",,"129,00","0,00","129,00","0,00","0,00",,"230,00","0,00","230,00","0,00","0,00"
Região Administrativa de Campinas,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 150.001 até 200.000 habitantes,3504107,Atibaia,,4303,0,0,2049,2254,,4514,0,0,3465,1049,,12030,0,137,9083,2810,,9394,0,6833,0,2561,,7.329,0,5.890,0,1.439,,1025,0,1025,0,0,,8,0,6,0,2,,324,0,145,0,179,,"242,00",,"66,00","0,00","28,00","38,00","0,00",,"176,00","0,00","176,00","0,00","0,00"
Região Administrativa de Araçatuba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3504206,Auriflama,,264,0,0,244,20,,263,0,0,239,24,,770,0,0,625,145,,631,0,505,0,126,,457,0,364,0,93,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"17,00",,"9,00","0,00","0,00","9,00","0,00",,"8,00","0,00","8,00","0,00","0,00"
Região Administrativa de Bauru,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3504305,Avaí,,90,0,0,90,0,,149,0,25,124,0,,333,0,55,278,0,,256,0,256,0,0,,163,0,163,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"27,00",,"16,00","0,00","16,00","0,00","0,00",,"11,00","0,00","11,00","0,00","0,00"
Região Administrativa de Araçatuba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3504404,Avanhandava,,309,0,0,282,27,,278,0,0,244,34,,731,0,0,598,133,,645,0,506,0,139,,383,0,324,0,59,,35,0,35,0,0,,0,0,0,0,0,,0,0,0,0,0,,"171,00",,"89,00","0,00","66,00","23,00","0,00",,"82,00","0,00","82,00","0,00","0,00"
